id,dataset,difficulty,mode,provider,model_name,use_rag,rag_top_k,safe_sql,execution_ok,row_match,value_match,exact_result_match,schema_table_recall,prompt_saved_pct,cache_hit,expected_tables,retrieved_tables,latency_ms,error,generated_sql,gold_sql
university_major_counts,university,easy,llm,ollama,llama3:latest,True,6,True,True,True,True,False,1.0,0.0,True,students,"courses, grades, students",12148.99,,"SELECT 
    major,
    COUNT(*) AS num_students
FROM 
    students
GROUP BY 
    major;","SELECT major, COUNT(*) AS student_count FROM students GROUP BY major ORDER BY major;"
university_average_score_by_course,university,medium,llm,ollama,llama3:latest,True,6,True,True,True,True,False,1.0,0.0,True,"courses, grades","courses, grades, students",2028.16,,"SELECT 
    c.course_code, 
    c.course_name, 
    AVG(g.score) AS avg_score
FROM 
    courses c
LEFT JOIN 
    grades g ON c.course_id = g.course_id
GROUP BY 
    c.course_code, 
    c.course_name;","SELECT c.course_code, c.course_name, ROUND(AVG(g.score), 2) AS average_score FROM grades g JOIN courses c ON g.course_id = c.course_id GROUP BY c.course_id, c.course_code, c.course_name ORDER BY c.course_code;"
university_top_students_by_average_score,university,medium,llm,ollama,llama3:latest,True,6,True,True,False,True,False,1.0,0.0,True,"grades, students","courses, grades, students",1793.31,,"SELECT s.full_name, AVG(g.score) AS avg_score
FROM grades g
JOIN students s ON g.student_id = s.student_id
GROUP BY s.full_name
ORDER BY avg_score DESC
LIMIT 5;","SELECT s.full_name, ROUND(AVG(g.score), 2) AS average_score FROM students s JOIN grades g ON s.student_id = g.student_id GROUP BY s.student_id, s.full_name ORDER BY average_score DESC, s.full_name LIMIT 5;"
university_grade_distribution,university,easy,llm,ollama,llama3:latest,True,6,True,True,True,True,False,1.0,0.0,True,grades,"courses, grades, students",2831.22,,"SELECT 
    CASE 
        WHEN LOWER(grade) LIKE 'a%' THEN 'HD'
        WHEN LOWER(grade) LIKE 'b%' THEN 'P'
        ELSE grade
    END AS grade_band, 
    COUNT(*) AS num_grades
FROM grades
GROUP BY 
    CASE 
        WHEN LOWER(grade) LIKE 'a%' THEN 'HD'
        WHEN LOWER(grade) LIKE 'b%' THEN 'P'
        ELSE grade
    END;","SELECT grade, COUNT(*) AS grade_count FROM grades GROUP BY grade ORDER BY grade;"
retail_revenue_by_region,retail,hard,llm,ollama,llama3:latest,True,6,True,True,False,False,False,1.0,25.7,True,"customers, order_items, orders, regions","customer_support_tickets, customers, marketing_campaigns, order_items, orders, regions, returns, stores",6643.74,,"SELECT 
    r.region_name, 
    SUM(oi.unit_price * oi.quantity) AS total_revenue
FROM 
    customers c
JOIN 
    orders o ON c.customer_id = o.customer_id
JOIN 
    order_items oi ON o.order_id = oi.order_id
JOIN 
    regions r ON c.region_id = r.region_id
WHERE 
    o.order_status = 'Completed'
GROUP BY 
    r.region_name;","SELECT r.region_name, ROUND(SUM(oi.quantity * oi.unit_price * (1 - oi.discount_pct)), 2) AS revenue FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN customers c ON o.customer_id = c.customer_id JOIN regions r ON c.region_id = r.region_id WHERE o.order_status = 'Completed' GROUP BY r.region_name ORDER BY revenue DESC;"
retail_revenue_by_category,retail,hard,llm,ollama,llama3:latest,True,6,True,True,False,False,False,1.0,4.1,True,"order_items, orders, products","customer_support_tickets, customers, inventory_snapshots, marketing_campaigns, order_items, orders, products, returns, stores, suppliers",4709.26,,"SELECT 
    category, 
    SUM(unit_price * quantity) AS total_revenue
FROM 
    products 
JOIN 
    order_items ON products.product_id = order_items.product_id
JOIN 
    orders ON order_items.order_id = orders.order_id
WHERE 
    orders.order_status = 'Completed'
GROUP BY 
    category
ORDER BY 
    total_revenue DESC;","SELECT p.category, ROUND(SUM(oi.quantity * oi.unit_price * (1 - oi.discount_pct)), 2) AS revenue FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN products p ON oi.product_id = p.product_id WHERE o.order_status = 'Completed' GROUP BY p.category ORDER BY revenue DESC;"
retail_support_satisfaction_by_priority,retail,medium,llm,ollama,llama3:latest,True,6,True,True,False,False,False,1.0,22.9,True,customer_support_tickets,"customer_support_tickets, customers, marketing_campaigns, orders, products, regions, stores, suppliers",3087.05,,"SELECT AVG(satisfaction_score) AS avg_satisfaction_score
FROM customer_support_tickets
WHERE priority IN ('Low', 'Medium', 'High')","SELECT priority, ROUND(AVG(satisfaction_score), 2) AS average_satisfaction FROM customer_support_tickets GROUP BY priority ORDER BY average_satisfaction DESC, priority;"
retail_return_reason_counts,retail,easy,llm,ollama,llama3:latest,True,6,True,True,False,True,False,1.0,19.0,True,returns,"customer_support_tickets, customers, order_items, orders, products, regions, returns, stores, suppliers",2890.41,,"SELECT reason, COUNT(*) AS frequency 
FROM returns 
GROUP BY reason 
ORDER BY frequency DESC;","SELECT reason, COUNT(*) AS return_count FROM returns GROUP BY reason ORDER BY return_count DESC, reason;"
healthcare_appointments_by_status,healthcare,easy,llm,ollama,llama3:latest,True,6,True,True,True,True,False,1.0,0.0,True,appointments,"appointments, doctors, hospitals, patients, prescriptions, treatments",1296.77,,"SELECT 
    status,
    COUNT(*) AS count
FROM 
    appointments
GROUP BY 
    status;","SELECT status, COUNT(*) AS appointment_count FROM appointments GROUP BY status ORDER BY appointment_count DESC, status;"
healthcare_treatment_cost_by_city,healthcare,hard,llm,ollama,llama3:latest,True,6,True,True,False,False,False,1.0,0.0,True,"appointments, doctors, hospitals, treatments","appointments, doctors, hospitals, patients, prescriptions, treatments",4352.99,,"SELECT 
  h.city, AVG(t.cost) AS avg_treatment_cost
FROM 
  treatments t
  JOIN hospitals h ON h.hospital_id IN (
    SELECT hospital_id FROM appointments a
    JOIN patients p ON a.patient_id = p.patient_id AND p.city = h.city
    JOIN doctors d ON a.doctor_id = d.doctor_id
  )
GROUP BY 
  h.city;","SELECT h.city, ROUND(AVG(t.cost), 2) AS average_treatment_cost FROM treatments t JOIN appointments a ON t.appointment_id = a.appointment_id JOIN doctors d ON a.doctor_id = d.doctor_id JOIN hospitals h ON d.hospital_id = h.hospital_id GROUP BY h.city ORDER BY average_treatment_cost DESC;"
